dataset,d,n,seed,method,train_acc,train_f1,train_auc,test_acc,test_f1,test_auc,fit_time_s,timestamp
glass,9,14,2,arch_proposed,0.3571,0.0877,0.5,0.355,0.0873,0.5,0.188,2026-06-24T05:42:41.164429
madelon,500,2080,0,linear_svm,0.7298,0.7298,0.8105,0.5885,0.5884,0.6158,0.266,2026-06-24T05:42:41.491962
madelon,500,2080,0,grad_boost,1.0,1.0,1.0,0.8288,0.8288,0.9034,2.735,2026-06-24T05:42:44.296117
madelon,500,2080,0,shallow_rff,0.8356,0.8353,0.8859,0.5288,0.5276,0.5606,0.395,2026-06-24T05:42:44.913997
madelon,500,2080,0,mlp,0.8779,0.8778,0.9484,0.6038,0.6037,0.616,1.433,2026-06-24T05:42:46.464004
madelon,500,2080,0,rbf_exact,1.0,1.0,1.0,0.6115,0.6115,0.6569,0.623,2026-06-24T05:42:49.617097
madelon,500,2080,0,arch_proposed,0.6077,0.6074,0.6432,0.5577,0.5575,0.5718,0.567,2026-06-24T05:42:58.714147
madelon,500,2080,1,linear_svm,0.7577,0.7577,0.8299,0.5231,0.523,0.54,0.223,2026-06-24T05:42:59.087720
madelon,500,2080,1,grad_boost,1.0,1.0,1.0,0.8462,0.8461,0.9005,2.715,2026-06-24T05:43:01.867923
madelon,500,2080,1,shallow_rff,0.8356,0.8356,0.8924,0.5269,0.5269,0.5308,0.322,2026-06-24T05:43:02.411587
madelon,500,2080,1,mlp,0.9019,0.9019,0.9603,0.5481,0.548,0.5827,1.345,2026-06-24T05:43:03.865732
madelon,500,2080,1,rbf_exact,1.0,1.0,1.0,0.5538,0.5535,0.5774,0.75,2026-06-24T05:43:07.191946
madelon,500,2080,1,arch_proposed,0.6087,0.6086,0.6431,0.4519,0.4517,0.4646,0.816,2026-06-24T05:43:16.674693
madelon,500,2080,2,linear_svm,0.7327,0.7326,0.8182,0.5769,0.5765,0.5932,0.227,2026-06-24T05:43:17.123869
madelon,500,2080,2,grad_boost,1.0,1.0,1.0,0.8096,0.8094,0.8841,2.682,2026-06-24T05:43:19.876254
